"X","Y","month","day","temp","RH","wind","rain","area"
7,4,"oct","sat",14.6,33,1.3,0,0
8,6,"mar","fri",8.3,97,4,0.2,0
8,6,"mar","sun",11.4,99,1.8,0,0
8,6,"aug","sun",2.8,29,5.4,0,0
8,6,"aug","mon",24.1,27,3.1,0,0
8,6,"aug","mon",8,86,2.2,0,0
8,6,"sep","tue",13.1,63,5.4,0,0
7,5,"sep","sat",17.8,51,7.2,0,0
6,5,"aug","fri",17,72,6.7,0,0
6,5,"sep","mon",21.3,42,2.2,0,0
6,5,"sep","fri",22.9,44,5.4,0,0
6,4,"mar","wed",15.9,35,4,0,0
5,4,"sep","mon",19.1,38,2.7,0,0
7,4,"jun","sun",21,44,4.5,0,0
7,4,"aug","sat",19.5,43,5.8,0,0
7,4,"aug","sat",23.7,32,5.8,0,0
7,4,"sep","fri",19,34,5.8,0,0
6,3,"sep","sat",30.2,24,2.7,0,0
6,3,"sep","sun",22.8,39,3.6,0,0
6,3,"sep","mon",11.2,78,7.6,0,0
6,3,"sep","fri",20.6,37,1.8,0,0
6,3,"sep","sun",17.7,39,3.6,0,0
6,3,"sep","tue",18.2,62,4.5,0,0
7,4,"oct","fri",11.3,60,5.4,0,0
4,4,"jul","tue",23.3,37,3.1,0,0
4,4,"aug","sat",18.4,42,6.7,0,0
4,4,"aug","tue",16.6,54,5.4,0,0
4,4,"sep","sat",19.6,48,2.7,0,0
4,4,"sep","wed",12.9,74,4.9,0,0
5,6,"sep","wed",25.9,24,4,0,0
5,6,"sep","mon",14.7,70,3.6,0,0
6,6,"jul","mon",23,36,3.1,0,0
4,4,"mar","mon",11,46,5.8,0,0
4,4,"sep","thu",20.8,17,1.3,0,0
4,3,"aug","sun",21.5,34,2.2,0,0
4,3,"aug","thu",17.6,45,3.6,0,0
4,3,"sep","tue",17.8,63,4.9,0,0
4,3,"oct","sun",13.8,50,2.7,0,0
2,2,"feb","mon",13.9,40,5.4,0,0
2,2,"feb","fri",12.3,51,0.9,0,0
2,2,"mar","sun",5.5,59,6.3,0,0
2,2,"aug","sun",20.8,33,2.7,0,0
2,2,"aug","mon",23.1,31,3.1,0,0
2,2,"sep","fri",19.6,33,6.3,0,0
4,5,"mar","fri",15.8,27,7.6,0,0
4,5,"sep","fri",17.7,37,3.6,0,0
5,4,"sep","fri",27.6,30,1.3,0,0
9,9,"feb","thu",6.7,79,3.1,0,0
9,9,"feb","fri",15.7,43,3.1,0,0
1,2,"aug","sun",17.9,44,2.2,0,0
1,2,"aug","tue",18.6,51,4.5,0,0
1,2,"aug","Saturday",20.2,45,3.6,0,0
1,2,"sep","thu",21.5,15,0.9,0,0
1,2,"sep","sun",25.3,36,3.6,0,0
8,6,"mar","fri",17.4,24,5.4,0,0
8,6,"aug","sun",18.2,43,4.9,0,0
8,6,"aug","mon",23.4,22,2.7,0,0
4,4,"sep","sun",17.8,64,1.3,0,0
3,4,"mar","sat",17.4,24,5.4,0,0
3,4,"aug","sun",19.8,39,5.4,0,0
2,4,"aug","tue",20.1,40,4,0,0
2,4,"sep","sat",24.1,29,4.5,0,0
2,4,"jan","sat",5.3,78,3.1,0,0
4,5,"mar","fri",12.7,52,6.3,0,0
4,5,"aug","sun",21.4,33,3.1,0,0
4,5,"sep","mon",17.4,56,5.4,0,0
3,4,"mar","fri",18.8,18,4.5,0,0
3,4,"sep","sun",22.8,39,3.6,0,0
3,4,"mar","sat",15.2,27,4.9,0,0
3,4,"mar","mon",10.6,30,4,0,0
3,4,"aug","thu",19.6,36,3.1,0,0
3,4,"aug","mon",10.3,74,2.2,0,0
3,4,"sep","fri",19.8,50,5.4,0,0
3,5,"mar","mon",9,49,2.2,0,0
3,5,"oct","wed",15.9,46,3.6,0,0
4,6,"feb","sat",15.4,40,2.7,0,0
4,6,"mar","mon",14,39,3.1,0,0
4,6,"mar","sun",10.6,46,4.9,0,0
3,6,"sep","sun",17.2,58,1.3,0,0
3,6,"sep","mon",15.6,66,3.1,0,0
9,9,"jul","tue",18,42,2.7,0,0.36
1,4,"sep","tue",21.7,38,2.2,0,0.43
8,6,"aug","fri",21.2,51,8.9,0,0.61
1,2,"jul","sat",16.6,53,5.4,0,0.71
2,5,"aug","wed",23.8,32,5.4,0,0.77
5,4,"mar","mon",13.2,40,5.4,0,0.95
8,3,"sep","tue",24.2,28,3.6,0,0.96
2,2,"aug","tue",17.4,43,6.7,0,1.07
3,4,"jul","sat",24.6,43,1.8,0,1.43
5,4,"sep","fri",20.1,47,4.9,0,1.46
1,5,"sep","sat",29.6,27,2.7,0,1.46
7,4,"January","sun",16.4,47,1.3,0,1.56
7,4,"sep","fri",19,34,5.8,0,1.69
7,4,"mar","mon",16.1,29,3.1,0,1.75
6,4,"aug","thu",20.3,41,4,0,1.9
6,3,"mar","sat",15.2,31,8.5,0,1.94
8,6,"sep","sat",17.8,56,1.8,0,1.95
8,5,"sep","sun",17.8,67,2.2,0,2.01
6,5,"mar","thu",5.3,70,4.5,0,2.14
6,5,"aug","Saturday",23.4,33,4.5,0,2.51
8,6,"aug","thu",20.7,45,2.2,0,2.55
1,4,"aug","sat",14.2,53,1.8,0,3.5
6,5,"apr","thu",5.8,54,5.8,0,4.61
2,5,"aug","sun",19.2,44,2.7,0,4.69
8,6,"oct","mon",19.1,32,4,0,5.44
5,4,"feb","sun",12.4,53,2.2,0,6.38
7,4,"oct","mon",16.8,45,4.5,0,6.83
8,6,"aug","fri",20.8,34,4.9,0,6.96
2,5,"sep","tue",17.6,46,3.1,0,7.04
1,5,"sep","mon",21,42,2.2,0,7.3
7,4,"mar","sun",11.5,60,4,0,8.24
6,5,"mar","fri",11.7,33,4,0,8.31
2,5,"aug","thu",24.2,28,2.7,0,8.68
2,2,"aug","tue",24.6,22,4.5,0,10.01
4,5,"sep","thu",21.5,15,0.9,0,11.06
2,4,"sep","mon",22.6,38,3.6,0,11.32
7,4,"feb","sun",8.8,68,2.2,0,13.05
5,6,"mar","sat",15.1,64,4,0,13.99
2,2,"aug","sat",22.9,31,130.2,0,15.45
7,5,"sep","tue",20.7,37,2.2,0,17.2
6,5,"sep","fri",19.6,33,6.3,0,19.23
7,4,"aug","sat",5.1,96,5.8,0,26
7,4,"sep","fri",20.1,47,4.9,0,26.13
7,3,"mar","mon",11,46,5.8,0,27.35
1,3,"sep","mon",12.4,73,6.3,0,30.32
4,5,"sep","wed",19.4,19,1.3,0,31.72
3,4,"sep","fri",18.6,49,3.6,0,35.88
2,2,"jul","fri",13.4,79,3.6,0,37.02
7,4,"sep","wed",15.4,57,4.5,0,37.71
4,6,"sep","sun",71.3,26,3.1,0,64.1
8,6,"aug","sat",16.4,43,4,0,71.3
4,4,"sep","wed",26.4,3.2,4.5,0,88.49
1,5,"sep","sun",27.8,27,3.1,0,95.18
6,4,"sep","tue",18.7,43,2.7,0,103.39
9,4,"sep","tue",24.3,36,3.1,0,105.66
8,6,"aug","sun",19.6,41,5.8,0,196.48
2,2,"sep","Friday",18.2,46,1.8,0,200.94
1,2,"sep","tue",18.8,40,2.2,0,212.88
6,3,"apr","wed",15.2,51,2.7,0,0
4,4,"apr","fri",16.7,20,3.1,0,0
2,4,"aug","sun",15.4,66,4,0,10.13
3,4,"aug","sun",26.8,38,6.3,0,0.76
3,4,"aug","wed",21.7,40,0.4,0,2.47
8,5,"aug","wed",24,36,3.1,0,0.24
7,4,"aug","thu",NA,38,2.7,0,1.52
2,4,"aug","mon",28.3,32,4,0,8.85
3,4,"October","fri",11.2,84,7.6,0,3.3
2,4,"aug","fri",76.1,42,3.1,0,4.25
2,2,"August","tue",23.7,24,3.1,0,0
3,4,"aug","tue",21,32,3.1,0,0
4,4,"aug","tue",19.1,53,2.7,0,4.4
2,2,"aug","tue",21.8,56,NA,0,0.52
8,6,"aug","tue",20.1,58,4.5,0,9.27
2,5,"aug","tue",20.2,47,4,0,3.09
8,6,"dec","wed",5.1,61,8,0,11.19
3,4,"dec","mon",4.6,21,8.5,0,10.73
4,4,"dec","mon",4.6,21,8.5,0,9.77
