"X","Y","month","day","temp","RH","wind","rain","area"
7,5,"mar","fri",8.2,51,6.7,0,0
7,4,"oct","sat",14.6,33,1.3,0,0
8,6,"mar","fri",8.3,97,4,0.2,0
8,6,"mar","sun",11.4,99,1.8,0,0
8,6,"aug","mon",2.9,86,2.2,0,0
8,6,"sep","tue",13.1,63,5.4,0,0
6,5,"aug","fri",17,72,6.7,0,0
6,5,"sep","mon",21.3,42,2.2,0,0
6,5,"sep","fri",22.9,44,5.4,0,0
8,5,"oct","mon",16.7,47,4.9,0,0
6,4,"sep","tue",18.3,40,2.7,0,0
5,4,"sep","mon",19.1,38,2.7,0,0
7,4,"aug","sat",19.5,43,5.8,0,0
7,4,"aug","sun",16.3,60,5.4,0,0
7,4,"sep","mon",19.4,48,1.3,0,0
6,3,"May","sat",30.2,24,2.7,0,0
6,3,"sep","sun",22.8,39,3.6,0,0
6,3,"sep","fri",25.4,24,3.6,0,0
6,3,"sep","mon",11.2,78,7.6,0,0
6,3,"sep","fri",20.6,37,1.8,0,0
6,3,"sep","sun",17.7,39,3.6,0,0
6,3,"sep","tue",18.2,62,4.5,0,0
6,3,"oct","tue",21.7,24,4.5,0,0
7,3,"oct","sat",17.8,27,4,0,0
4,4,"jul","tue",23.3,37,3.1,0,0
6,6,"jul","mon",23,36,3.1,0,0
4,4,"sep","thu",20.8,17,1.3,0,0
4,3,"aug","sun",21.5,34,2.2,0,0
4,3,"aug","wed",20.4,42,4.9,0,0
4,3,"aug","thu",17.6,45,3.6,0,0
4,3,"sep","tue",17.8,63,4.9,0,0
2,2,"mar","sun",11.5,39,5.8,0,0
2,2,"aug","thu",18.8,35,4.9,0,0
2,2,"aug","mon",23.1,31,3.1,0,0
2,2,"aug","thu",18.6,44,4.5,0,0
2,2,"sep","fri",19.6,33,5.4,0,0
2,2,"sep","fri",19.6,33,6.3,0,0
4,5,"mar","fri",15.8,27,7.6,0,0
5,4,"mar","fri",15.6,25,6.3,0,0
9,9,"feb","thu",6.7,79,3.1,0,0
1,3,"mar","mon",8.3,72,3.1,0,0
1,2,"aug","fri",14.7,66,2.7,0,0
1,2,"aug","tue",21.6,19,6.7,0,0
1,2,"aug","sun",19.5,39,6.3,0,0
1,2,"aug","sun",17.9,44,2.2,0,0
1,2,"sep","thu",21.5,15,0.9,0,0
1,2,"sep","thu",25.4,27,2.2,0,0
1,2,"sep","thu",22.4,34,2.2,0,0
1,2,"sep","sun",25.3,36,3.6,0,0
6,5,"mar","sat",17.4,25,4.9,0,0
6,5,"aug","sat",14.7,59,5.8,0,0
8,6,"mar","fri",17.4,24,5.4,0,0
4,4,"sep","sun",17.8,64,1.3,0,0
3,4,"aug","sun",11.6,87,4.5,0,0
3,4,"aug","sun",19.8,39,5.4,0,0
3,4,"aug","sun",19.8,39,5.4,0,0
2,4,"aug","tue",20.1,40,4,0,0
4,5,"mar","fri",12.7,52,6.3,0,0
4,5,"mar","thu",18.2,29,3.1,0,0
4,5,"sep","sat",20.3,45,3.1,0,0
4,4,"mar","fri",13.7,43,5.8,0,0
3,5,"mar","tue",NA,27,6.3,0,0
3,4,"mar","sat",15.2,27,4.9,0,0
3,4,"mar","mon",10.6,30,130.6,0,0
3,4,"aug","mon",17.1,43,5.4,0,0
3,4,"sep","sun",22.5,42,5.4,0,0
3,4,"sep","tue",17.9,45,3.1,0,0
3,5,"mar","mon",9,49,2.2,0,0
3,5,"sep","fri",17.2,43,3.1,0,0
