"X","Y","month","day","temp","RH","wind","rain","area"
7,4,"oct","tue",18,33,0.9,0,0
7,4,"oct","sat",14.6,33,1.3,0,0
8,6,"mar","fri",8.3,97,4,0.2,0
8,6,"aug","sun",0.9,29,5.4,0,0
8,6,"aug","mon",24.1,27,3.1,0,0
8,6,"sep","tue",13.1,63,5.4,0,0
7,5,"sep","sat",17.8,51,7.2,0,0
7,5,"sep","sat",19.3,38,4,0,0
6,5,"aug","fri",17,72,6.7,0,0
6,5,"sep","mon",21.3,42,2.2,0,0
6,5,"sep","fri",22.9,44,5.4,0,0
5,5,"mar","sat",15.1,27,5.4,0,0
8,5,"oct","mon",16.7,47,4.9,0,0
6,4,"sep","tue",18.3,40,2.7,0,0
7,4,"aug","sat",23.7,32,5.8,0,0
7,4,"aug","sun",16.3,60,5.4,0,0
6,3,"November","sat",30.2,24,2.7,0,0
6,3,"sep","fri",20.6,37,1.8,0,0
6,3,"sep","sun",17.7,39,3.6,0,0
6,3,"oct","tue",21.7,24,4.5,0,0
7,3,"oct","sat",17.8,27,4,0,0
4,4,"mar","tue",14.1,43,2.7,0,0
4,4,"aug","tue",16.6,54,5.4,0,0
4,4,"sep","sat",19.6,48,2.7,0,0
5,6,"sep","wed",25.9,24,4,0,0
5,6,"sep","mon",14.7,70,3.6,0,0
4,4,"mar","mon",11.8,35,1.8,0,0
4,4,"mar","mon",11,46,5.8,0,0
4,4,"sep","thu",20.8,17,1.3,0,0
4,3,"aug","wed",20.4,42,4.9,0,0
4,3,"sep","thu",27.7,24,2.2,0,0
4,3,"oct","sun",13.8,50,2.7,0,0
2,2,"feb","fri",12.3,51,0.9,0,0
2,2,"aug","thu",18.8,35,4.9,0,0
2,2,"aug","sun",20.8,33,2.7,0,0
2,2,"aug","mon",23.1,31,3.1,0,0
2,2,"sep","fri",19.6,33,6.3,0,0
9,9,"feb","fri",15.7,43,3.1,0,0
1,3,"mar","mon",8.3,72,3.1,0,0
1,2,"aug","fri",14.7,66,2.7,0,0
1,2,"aug","sun",19.5,39,6.3,0,0
1,2,"November","wed",16.6,47,0.9,0,0
1,2,"sep","thu",25.4,27,2.2,0,0
6,5,"aug","sat",14.7,59,5.8,0,0
8,6,"aug","sun",20.8,32,6.3,0,0
8,6,"aug","sun",18.2,43,4.9,0,0
8,6,"aug","mon",23.4,22,2.7,0,0
4,4,"sep","sun",17.8,64,1.3,0,0
3,4,"mar","sat",17.4,24,5.4,0,0
3,4,"aug","sun",19.8,39,5.4,0,0
3,4,"aug","sun",19.8,39,5.4,0,0
3,4,"aug","tue",14.4,66,5.4,0,0
2,4,"aug","tue",20.1,40,4,0,0
2,4,"jan","sat",5.3,78,3.1,0,0
4,5,"mar","thu",18.2,29,3.1,0,0
4,5,"sep","sat",20.3,45,3.1,0,0
4,5,"sep","mon",17.4,56,5.4,0,0
4,4,"mar","fri",13.7,43,5.8,0,0
3,4,"mar","fri",18.8,18,4.5,0,0
3,4,"mar","sat",15.2,27,4.9,0,0
3,4,"aug","thu",19.6,36,3.1,0,0
3,4,"aug","mon",17.1,43,5.4,0,0
3,4,"sep","tue",17.9,45,3.1,0,0
3,4,"oct","sun",20.6,24,5.4,0,0
3,5,"sep","fri",17.2,43,3.1,0,0
3,5,"oct","wed",15.9,46,3.6,0,0
2,5,"oct","sun",15.4,35,0.9,0,0
4,6,"mar","sun",10.6,46,4.9,0,0
4,6,"sep","Friday",17.6,42,3.1,0,0
3,5,"aug","sat",17.6,52,5.8,0,0
9,9,"jul","tue",18,42,2.7,0,0.36
2,5,"sep","mon",21.9,39,1.8,0,0.47
1,2,"aug","wed",23.3,31,4.5,0,0.55
8,6,"aug","fri",21.2,51,8.9,0,0.61
2,5,"aug","wed",23.8,32,5.4,0,0.77
6,5,"aug","thu",27.4,22,4,0,0.9
5,4,"mar","mon",13.2,40,5.4,0,0.95
2,2,"aug","tue",17.4,43,6.7,0,1.07
8,6,"sep","thu",23.7,25,4.5,0,1.12
6,5,"jun","fri",23.2,39,5.4,0,1.19
1,5,"sep","sat",29.6,27,2.7,0,1.46
