"X","Y","month","day","temp","RH","wind","rain","area"
7,4,"oct","sat",14.6,33,1.3,0,0
8,6,"mar","sun",11.4,99,1.8,0,0
8,6,"aug","sun",0.1,29,5.4,0,0
7,5,"sep","sat",17.8,51,7.2,0,0
6,5,"aug","fri",17,72,6.7,0,0
5,5,"mar","sat",15.1,27,131.4,0,0
8,5,"oct","mon",16.7,47,4.9,0,0
6,4,"mar","wed",15.9,35,4,0,0
6,4,"apr","sat",9.3,44,4.5,0,0
5,4,"sep","mon",19.1,38,2.7,0,0
7,4,"jun","sun",21,44,4.5,0,0
7,4,"aug","sat",23.7,32,5.8,0,0
7,4,"sep","fri",19,34,5.8,0,0
7,4,"sep","mon",19.4,48,1.3,0,0
6,3,"sep","sat",NA,24,2.7,0,0
6,3,"sep","sun",22.8,39,3.6,0,0
6,3,"sep","mon",21.2,32,2.7,0,0
6,3,"sep","tue",18.2,62,4.5,0,0
6,3,"oct","tue",21.7,24,4.5,0,0
4,4,"mar","tue",14.1,43,2.7,0,0
4,4,"jul","tue",23.3,37,3.1,0,0
4,4,"aug","sat",18.4,42,6.7,0,0
4,4,"aug","tue",16.6,54,5.4,0,0
4,4,"sep","wed",12.9,74,4.9,0,0
5,6,"sep","mon",14.7,70,3.6,0,0
6,6,"jul","mon",23,36,3.1,0,0
4,4,"mar","mon",11.8,35,1.8,0,0
4,4,"mar","mon",11,46,5.8,0,0
4,4,"sep","thu",20.8,17,1.3,0,0
4,3,"aug","sun",21.5,34,2.2,0,0
4,3,"aug","thu",17.6,45,3.6,0,0
4,3,"sep","tue",17.8,63,4.9,0,0
2,2,"September","sun",5.5,59,6.3,0,0
2,2,"aug","thu",18.8,35,4.9,0,0
2,2,"aug","thu",18.6,44,4.5,0,0
2,2,"sep","fri",23,37,4.5,0,0
2,2,"sep","fri",19.6,33,6.3,0,0
4,5,"mar","fri",15.8,27,7.6,0,0
5,4,"mar","fri",15.6,25,6.3,0,0
5,4,"aug","tue",17.3,43,4.5,0,0
5,4,"sep","fri",27.6,30,1.3,0,0
9,9,"feb","fri",15.7,43,3.1,0,0
1,3,"mar","mon",8.3,72,3.1,0,0
1,2,"aug","fri",14.7,66,2.7,0,0
1,2,"aug","tue",21.6,19,6.7,0,0
1,2,"aug","sun",19.5,39,6.3,0,0
1,2,"aug","sun",17.9,44,2.2,0,0
1,2,"aug","tue",18.6,51,4.5,0,0
1,2,"aug","wed",16.6,47,0.9,0,0
1,2,"aug","thu",20.2,45,3.6,0,0
6,5,"mar","sat",17.4,25,4.9,0,0
6,5,"aug","sat",14.7,59,5.8,0,0
8,6,"aug","sun",20.8,32,6.3,0,0
8,6,"aug","sun",18.2,43,4.9,0,0
8,6,"aug","mon",23.4,22,2.7,0,0
4,4,"sep","sun",17.8,64,1.3,0,0
3,4,"feb","sat",12.7,48,1.8,0,0
3,4,"aug","sun",11.6,87,4.5,0,0
3,4,"aug","sun",19.8,39,5.4,0,0
3,4,"aug","sun",19.8,39,5.4,0,0
3,4,"aug","tue",14.4,66,5.4,0,0
2,4,"aug","tue",20.1,40,4,0,0
4,5,"mar","fri",12.7,52,6.3,0,0
4,5,"mar","thu",18.2,29,3.1,0,0
4,5,"aug","sun",21.4,33,3.1,0,0
4,5,"sep","sat",20.3,45,3.1,0,0
3,4,"mar","fri",18.8,18,4.5,0,0
3,4,"sep","sun",22.8,39,3.6,0,0
3,4,"mar","tue",15.8,27,7.6,0,0
3,4,"mar","sat",15.2,27,4.9,0,0
3,4,"mar","mon",10.6,30,4,0,0
3,4,"sep","sun",22.5,42,5.4,0,0
3,4,"sep","tue",17.9,45,3.1,0,0
3,4,"sep","fri",19.8,50,5.4,0,0
3,5,"mar","mon",9,49,2.2,0,0
3,5,"sep","fri",17.2,43,3.1,0,0
4,6,"feb","sat",15.4,40,2.7,0,0
4,6,"mar","sun",10.6,46,4.9,0,0
