"X","Y","month","day","temp","RH","wind","rain","area"
7,4,"oct","tue",18,33,0.9,0,0
8,6,"mar","fri",8.3,97,4,0.2,0
8,6,"aug","sun",0,29,5.4,0,0
8,6,"aug","mon",24.1,27,3.1,0,0
8,6,"aug","mon",8,86,2.2,0,0
7,5,"sep","sat",22.8,40,4,0,0
7,5,"sep","sat",17.8,51,7.2,0,0
7,5,"sep","sat",19.3,38,4,0,0
6,5,"aug","fri",17,72,6.7,0,0
6,5,"sep","mon",21.3,42,2.2,0,0
6,5,"sep","fri",22.9,44,5.4,0,0
6,4,"mar","Monday",15.9,35,4,0,0
7,4,"aug","sat",19.5,43,5.8,0,0
7,4,"aug","sat",23.7,32,5.8,0,0
7,4,"aug","sun",16.3,60,5.4,0,0
6,3,"sep","sat",30.2,24,2.7,0,0
6,3,"sep","fri",25.4,24,3.6,0,0
6,3,"sep","fri",20.6,37,1.8,0,0
6,3,"sep","mon",21.2,32,2.7,0,0
6,3,"sep","tue",68.2,62,4.5,0,0
6,3,"oct","tue",21.7,24,4.5,0,0
7,4,"oct","fri",11.3,60,5.4,0,0
4,4,"mar","tue",14.1,43,2.7,0,0
4,4,"jul","tue",23.3,37,3.1,0,0
4,4,"sep","wed",12.9,74,4.9,0,0
5,6,"sep","wed",25.9,24,4,0,0
4,4,"mar","mon",11,46,5.8,0,0
4,3,"aug","sun",21.5,34,2.2,0,0
4,3,"aug","wed",20.4,42,4.9,0,0
4,3,"aug","Thursday",17.6,45,3.6,0,0
2,2,"mar","sun",11.5,39,5.8,0,0
2,2,"mar","sun",5.5,59,6.3,0,0
2,2,"aug","thu",18.8,35,4.9,0,0
2,2,"aug","sun",20.8,33,2.7,0,0
2,2,"aug","mon",23.1,31,3.1,0,0
2,2,"aug","thu",18.6,44,4.5,0,0
2,2,"sep","fri",19.6,33,6.3,0,0
4,5,"sep","fri",17.7,37,3.6,0,0
1,3,"mar","mon",8.3,72,3.1,0,0
1,2,"aug","fri",14.7,66,2.7,0,0
1,2,"aug","tue",21.6,19,6.7,0,0
1,2,"aug","sun",17.9,44,2.2,0,0
1,2,"aug","tue",18.6,51,4.5,0,0
1,2,"aug","wed",16.6,47,0.9,0,0
1,2,"aug","thu",20.2,45,3.6,0,0
1,2,"sep","thu",21.5,15,0.9,0,0
1,2,"sep","thu",22.4,34,2.2,0,0
1,2,"sep","sun",25.3,36,3.6,0,0
8,6,"aug","sun",20.8,32,6.3,0,0
8,6,"aug","mon",23.4,22,2.7,0,0
3,4,"feb","sat",12.7,48,1.8,0,0
3,4,"mar","sat",17.4,24,5.4,0,0
3,4,"aug","sun",11.6,87,4.5,0,0
3,4,"aug","sun",19.8,39,5.4,0,0
3,4,"aug","tue",14.4,66,5.4,0,0
2,4,"aug","tue",20.1,40,NA,0,0
2,4,"jan","sat",5.3,78,3.1,0,0
