"X","Y","month","day","temp","RH","wind","rain","area"
7,5,"mar","fri",8.2,51,6.7,0,0
7,4,"oct","sat",14.6,33,1.3,0,0
8,6,"mar","fri",8.3,97,4,0.2,0
7,5,"sep","sat",22.8,40,4,0,0
7,5,"sep","sat",17.8,51,7.2,0,0
7,5,"sep","sat",19.3,4.6,4,0,0
6,5,"aug","fri",0.5,72,6.7,0,0
6,4,"apr","sat",9.3,44,4.5,0,0
6,4,"sep","tue",18.3,40,2.7,0,0
5,4,"sep","mon",19.1,38,2.7,0,0
7,4,"aug","Wednesday",19.5,43,5.8,0,0
7,4,"sep","fri",19,34,5.8,0,0
7,4,"sep","mon",19.4,48,1.3,0,0
6,3,"sep","sun",22.8,39,3.6,0,0
6,3,"sep","fri",25.4,24,3.6,0,0
6,3,"sep","mon",11.2,78,7.6,0,0
6,3,"sep","fri",20.6,37,1.8,0,0
6,3,"sep","mon",21.2,32,2.7,0,0
7,4,"oct","fri",11.3,60,5.4,0,0
4,4,"mar","tue",14.1,43,2.7,0,0
4,4,"aug","sat",18.4,42,6.7,0,0
4,4,"aug","tue",16.6,54,5.4,0,0
4,4,"sep","wed",12.9,74,4.9,0,0
4,4,"mar","mon",11.8,35,1.8,0,0
4,4,"mar","mon",11,46,5.8,0,0
4,4,"sep","thu",20.8,17,1.3,0,0
4,3,"aug","sun",21.5,34,2.2,0,0
4,3,"aug","wed",20.4,42,4.9,0,0
4,3,"sep","thu",27.7,24,2.2,0,0
4,3,"sep","tue",17.8,63,4.9,0,0
2,2,"aug","thu",18.8,35,4.9,0,0
2,2,"aug","thu",18.6,44,4.5,0,0
2,2,"sep","fri",19.6,33,6.3,0,0
4,5,"mar","fri",17.2,26,4.5,0,0
4,5,"mar","fri",15.8,27,7.6,0,0
4,5,"sep","fri",17.7,37,3.6,0,0
5,4,"mar","fri",15.6,25,6.3,0,0
5,4,"aug","tue",17.3,43,4.5,0,0
5,4,"sep","fri",27.6,30,1.3,0,0
9,9,"feb","fri",15.7,43,3.1,0,0
1,2,"aug","tue",21.6,19,6.7,0,0
1,2,"aug","sun",19.5,39,6.3,0,0
1,2,"aug","tue",18.6,51,4.5,0,0
1,2,"aug","wed",16.6,47,0.9,0,0
1,2,"aug","thu",20.2,45,3.6,0,0
1,2,"sep","thu",25.4,27,2.2,0,0
1,2,"sep","thu",22.4,34,2.2,0,0
1,2,"sep","sun",25.3,36,3.6,0,0
6,5,"mar","sat",17.4,25,4.9,0,0
6,5,"aug","sat",14.7,59,5.8,0,0
8,6,"mar","fri",17.4,24,5.4,0,0
8,6,"aug","mon",23.4,22,2.7,0,0
3,4,"feb","sat",12.7,48,1.8,0,0
3,4,"mar","sat",17.4,24,5.4,0,0
3,4,"aug","sun",11.6,87,4.5,0,0
3,4,"aug","sun",19.8,39,5.4,0,0
3,4,"aug","sun",19.8,39,5.4,0,0
2,4,"aug","tue",20.1,40,4,0,0
2,4,"jan","sat",5.3,78,3.1,0,0
4,5,"aug","sun",21.4,33,3.1,0,0
4,5,"sep","sat",20.3,45,3.1,0,0
4,4,"mar","fri",13.7,43,5.8,0,0
3,4,"sep","sun",22.8,39,3.6,0,0
3,4,"mar","tue",15.8,27,7.6,0,0
3,5,"mar","tue",15.5,27,6.3,0,0
3,4,"mar","sat",15.2,27,4.9,0,0
2,5,"oct","sun",15.4,35,0.9,0,0
4,6,"mar","mon",14,39,3.1,0,0
4,6,"sep","thu",17.6,42,3.1,0,0
