"X","Y","month","day","temp","RH","wind","rain","area"
7,5,"mar","fri",8.2,51,6.7,0,0
7,4,"oct","sat",14.6,33,1.3,0,0
8,6,"aug","sun",0.1,29,5.4,0,0
8,6,"aug","mon",24.1,27,3.1,0,0
8,6,"aug","mon",8,86,2.2,0,0
8,6,"sep","tue",13.1,63,5.4,0,0
7,5,"sep","sat",22.8,40,4,0,0
7,5,"sep","sat",19.3,38,4,0,0
5,5,"mar","sat",15.1,27,5.4,0,0
8,5,"oct","mon",16.7,47,4.9,0,0
6,4,"mar","wed",15.9,35,4,0,0
5,4,"sep","mon",19.1,38,2.7,0,0
7,4,"aug","sat",19.5,43,5.8,0,0
7,4,"aug","sat",23.7,32,5.8,0,0
7,4,"aug","sun",16.3,60,5.4,0,0
7,4,"sep","mon",19.4,48,1.3,0,0
6,3,"sep","mon",11.2,78,7.6,0,0
6,3,"sep","mon",21.2,32,2.7,0,0
7,4,"oct","fri",11.3,60,5.4,0,0
4,4,"mar","tue",14.1,43,2.7,0,0
4,4,"jul","tue",23.3,37,3.1,0,0
4,4,"aug","sat",18.4,42,6.7,0,0
4,4,"aug","tue",16.6,54,5.4,0,0
4,4,"sep","sat",19.6,48,2.7,0,0
4,4,"sep","wed",12.9,74,4.9,0,0
5,6,"sep","mon",14.7,70,3.6,0,0
4,4,"sep","thu",20.8,17,1.3,0,0
4,3,"aug","sun",21.5,34,2.2,0,0
4,3,"aug","wed",20.4,42,4.9,0,0
4,3,"aug","wed",20.4,42,4.9,0,0
4,3,"aug","thu",17.6,45,3.6,0,0
4,3,"sep","thu",27.7,24,2.2,0,0
4,3,"oct","sun",13.8,50,2.7,0,0
2,2,"feb","mon",13.9,40,5.4,0,0
2,2,"feb","fri",12.3,51,0.9,0,0
2,2,"aug","sun",20.8,33,2.7,0,0
2,2,"sep","fri",19.6,33,6.3,0,0
4,5,"mar","fri",15.8,27,7.6,0,0
5,4,"mar","fri",15.6,25,6.3,0,0
5,4,"sep","fri",27.6,30,1.3,0,0
9,9,"feb","thu",6.7,79,3.1,0,0
9,9,"feb","fri",15.7,43,3.1,0,0
1,3,"mar","mon",8.3,72,3.1,0,0
1,2,"aug","fri",14.7,1.6,2.7,0,0
1,2,"aug","sun",17.9,44,2.2,0,0
1,2,"aug","wed",16.6,47,0.9,0,0
1,2,"aug","thu",20.2,45,3.6,0,0
1,2,"sep","thu",21.5,15,0.9,0,0
1,2,"sep","thu",25.4,27,2.2,0,0
6,5,"aug","sat",14.7,59,5.8,0,0
8,6,"mar","fri",17.4,24,5.4,0,0
8,6,"aug","mon",23.4,22,2.7,0,0
4,4,"sep","sun",17.8,64,1.3,0,0
3,4,"July","sat",17.4,24,5.4,0,0
3,4,"aug","sun",19.8,39,5.4,0,0
3,4,"aug","tue",14.4,66,5.4,0,0
2,4,"aug","tue",20.1,40,4,0,0
2,4,"jan","sat",5.3,78,3.1,0,0
4,5,"August","mon",17.4,56,5.4,0,0
4,4,"mar","fri",13.7,43,5.8,0,0
3,4,"mar","fri",18.8,18,4.5,0,0
3,4,"mar","sat",11.6,30,6.3,0,0
3,4,"mar","mon",10.6,30,NA,0,0
3,4,"aug","mon",10.3,74,2.2,0,0
3,4,"aug","mon",17.1,43,130.3,0,0
3,4,"sep","sun",22.5,42,5.4,0,0
3,5,"mar","mon",9,49,2.2,0,0
3,5,"December","fri",17.2,43,3.1,0,0
3,5,"oct","wed",15.9,46,3.6,0,0
