"X","Y","month","day","temp","RH","wind","rain","area"
7,5,"mar","fri",8.2,51,6.7,0,0
7,4,"oct","sat",14.6,33,1.3,0,0
8,6,"mar","sun",11.4,99,1.8,0,0
8,6,"aug","sun",0,29,5.4,0,0
8,6,"aug","mon",24.1,27,3.1,0,0
8,6,"sep","Tuesday",13.1,63,5.4,0,0
7,5,"sep","sat",22.8,40,4,0,0
6,5,"sep","mon",21.3,42,2.2,0,0
6,5,"sep","wed",26.4,21,4.5,0,0
6,5,"sep","fri",22.9,4.5,5.4,0,0
8,5,"oct","mon",16.7,47,4.9,0,0
6,4,"apr","sat",9.3,44,4.5,0,0
7,4,"jun","sun",21,44,4.5,0,0
7,4,"aug","sat",19.5,43,5.8,0,0
7,4,"aug","sat",76.5,32,5.8,0,0
7,4,"aug","sun",16.3,60,5.4,0,0
7,4,"sep","mon",19.4,48,1.3,0,0
6,3,"sep","sun",22.8,39,3.6,0,0
6,3,"sep","fri",25.4,24,3.6,0,0
6,3,"sep","fri",20.6,37,1.8,0,0
6,3,"sep","sun",17.7,39,3.6,0,0
6,3,"sep","tue",18.2,62,4.5,0,0
7,4,"oct","fri",11.3,60,5.4,0,0
7,3,"oct","sat",17.8,27,4,0,0
4,4,"jul","tue",23.3,37,3.1,0,0
4,4,"aug","sat",18.4,42,6.7,0,0
4,4,"aug","tue",16.6,54,5.4,0,0
4,4,"sep","sat",19.6,48,2.7,0,0
4,4,"mar","mon",11,46,5.8,0,0
4,3,"aug","sun",21.5,34,2.2,0,0
4,3,"aug","wed",20.4,42,4.9,0,0
4,3,"sep","thu",27.7,24,2.2,0,0
4,3,"sep","tue",17.8,63,4.9,0,0
2,2,"feb","mon",13.9,40,5.4,0,0
2,2,"mar","sun",11.5,39,5.8,0,0
2,2,"aug","thu",18.8,35,4.9,0,0
2,2,"aug","sun",20.8,33,2.7,0,0
2,2,"aug","mon",23.1,31,3.1,0,0
2,2,"aug","thu",18.6,44,4.5,0,0
2,2,"sep","fri",23,37,4.5,0,0
2,2,"sep","fri",19.6,33,6.3,0,0
4,5,"mar","fri",17.2,26,4.5,0,0
4,5,"mar","fri",15.8,27,7.6,0,0
5,4,"mar","fri",15.6,25,6.3,0,0
5,4,"aug","tue",17.3,43,4.5,0,0
1,3,"mar","mon",55,72,3.1,0,0
1,2,"aug","sun",17.9,44,2.2,0,0
1,2,"aug","tue",18.6,51,4.5,0,0
1,2,"aug","wed",16.6,47,0.9,0,0
1,2,"sep","thu",25.4,27,2.2,0,0
6,5,"mar","sat",17.4,25,4.9,0,0
6,5,"aug","sat",14.7,59,5.8,0,0
8,6,"aug","sun",20.8,32,6.3,0,0
8,6,"March","sun",18.2,43,4.9,0,0
8,6,"aug","Monday",23.4,22,2.7,0,0
3,4,"feb","sat",12.7,48,1.8,0,0
3,4,"mar","sat",17.4,24,5.4,0,0
3,4,"aug","tue",14.4,66,5.4,0,0
2,4,"aug","tue",20.1,40,4,0,0
2,4,"sep","sat",24.1,29,4.5,0,0
2,4,"jan","sat",5.3,78,3.1,0,0
4,5,"mar","fri",12.7,52,6.3,0,0
4,5,"mar","thu",18.2,29,3.1,0,0
4,5,"sep","sat",20.3,45,3.1,0,0
3,4,"sep","mon",18.9,35,2.7,0,0
3,4,"mar","sat",11.6,30,6.3,0,0
3,4,"aug","mon",17.1,43,5.4,0,0
3,4,"sep","sun",22.5,42,5.4,0,0
3,4,"sep","fri",19.8,50,5.4,0,0
