"X","Y","month","day","temp","RH","wind","rain","area"
7,4,"oct","sat",14.6,33,1.3,0,0
8,6,"aug","mon",1.3,27,3.1,0,0
8,6,"sep","tue",13.1,63,5.4,0,0
6,5,"aug","fri",17,72,6.7,0,0
6,5,"sep","mon",21.3,42,2.2,0,0
6,5,"sep","wed",26.4,21,4.5,0,0
6,5,"sep","fri",22.9,44,5.4,0,0
6,4,"sep","tue",18.3,40,2.7,0,0
5,4,"sep","mon",19.1,38,2.7,0,0
7,4,"jun","sun",21,44,4.5,0,0
7,4,"aug","sat",19.5,43,5.8,0,0
7,4,"aug","sat",23.7,32,5.8,0,0
7,4,"aug","sun",16.3,60,5.4,0,0
7,4,"sep","fri",19,34,5.8,0,0
7,4,"sep","mon",19.4,48,1.3,0,0
7,3,"oct","sat",17.8,27,4,0,0
4,4,"mar","tue",14.1,43,2.7,0,0
4,4,"jul","tue",23.3,37,3.1,0,0
4,4,"sep","wed",12.9,74,4.9,0,0
5,6,"sep","wed",25.9,24,4,0,0
5,6,"sep","mon",14.7,70,3.6,0,0
4,4,"mar","mon",11.8,35,1.8,0,0
4,4,"mar","mon",11,46,5.8,0,0
4,4,"sep","thu",20.8,17,1.3,0,0
4,3,"aug","sun",21.5,4.3,2.2,0,0
4,3,"aug","wed",20.4,42,4.9,0,0
4,3,"sep","thu",27.7,24,2.2,0,0
4,3,"oct","sun",13.8,50,2.7,0,0
2,2,"feb","mon",13.9,40,5.4,0,0
2,2,"feb","fri",12.3,51,0.9,0,0
2,2,"mar","sun",11.5,39,5.8,0,0
2,2,"mar","sun",5.5,59,6.3,0,0
2,2,"aug","thu",18.8,35,4.9,0,0
2,2,"aug","mon",23.1,31,3.1,0,0
2,2,"aug","thu",18.6,44,4.5,0,0
2,2,"sep","fri",23,37,4.5,0,0
4,5,"mar","fri",17.2,26,4.5,0,0
4,5,"mar","fri",83.3,27,7.6,0,0
5,4,"mar","fri",15.6,25,6.3,0,0
5,4,"aug","tue",17.3,43,4.5,0,0
5,4,"sep","fri",27.6,30,1.3,0,0
9,9,"feb","thu",6.7,79,3.1,0,0
1,2,"aug","fri",14.7,66,2.7,0,0
1,2,"aug","wed",16.6,47,0.9,0,0
1,2,"sep","sun",25.3,36,3.6,0,0
6,5,"aug","sat",14.7,59,5.8,0,0
8,6,"mar","fri",17.4,24,5.4,0,0
8,6,"aug","sun",20.8,32,6.3,0,0
4,4,"sep","sun",17.8,64,1.3,0,0
3,4,"feb","sat",12.7,48,1.8,0,0
3,4,"aug","sun",11.6,87,4.5,0,0
3,4,"aug","sun",19.8,39,5.4,0,0
3,4,"aug","tue",14.4,66,5.4,0,0
2,4,"aug","tue",20.1,40,4,0,0
4,5,"mar","fri",12.7,52,6.3,0,0
4,5,"mar","thu",18.2,29,3.1,0,0
4,5,"aug","sun",21.4,33,3.1,0,0
4,5,"sep","sat",20.3,45,3.1,0,0
4,5,"sep","mon",17.4,56,5.4,0,0
4,4,"mar","fri",13.7,43,5.8,0,0
3,4,"sep","mon",18.9,35,2.7,0,0
3,5,"mar","tue",15.5,27,6.3,0,0
3,4,"mar","sat",11.6,30,6.3,0,0
3,4,"mar","mon",10.6,30,4,0,0
3,4,"aug","mon",17.1,43,5.4,0,0
3,4,"sep","sun",22.5,42,5.4,0,0
